val	probability
0	0.6669921875
1	0.15031814575195315
2	0.07181537151336674
3	0.04527496639639142
4	0.02973542944528165
5	0.017583820554136795
6	0.009357553425616075
7	0.004733238113445288
8	0.0022990455128422166
9	0.0010703164325995844
10	0.00047856760969544685
11	0.00020510582440580536
12	8.419783653612621e-5
13	3.308957661822541e-5
14	1.2405983341616495e-5
15	4.414208059099132e-6
16	1.4837860598006168e-6
17	4.695026079217611e-7
18	1.3937521147963501e-7
19	3.866515052488406e-8
20	9.972335544144926e-9
21	2.374241978367304e-9
22	5.170814713906209e-10
23	1.0190167589949204e-10
24	1.7933970281048017e-11
25	2.7728323109821904e-12
26	3.688334360152481e-13
27	4.1007995610354975e-14
28	3.646388746503344e-15
29	2.4112656316078516e-16
30	1.0408340855861394e-17
31	2.168404344971143e-19
